DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Albania,2022,64.73,b,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Austria,2022,92.49,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Austria,2024,95.38,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Bosnia and Herzegovina,2022,85.58,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Bosnia and Herzegovina,2024,76.58,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Belgium,2022,95.80,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Belgium,2024,96.12,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Bulgaria,2022,81.88,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Bulgaria,2024,83.23,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Cyprus,2022,91.21,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Cyprus,2024,96.35,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Czechia,2022,91.87,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Czechia,2024,92.08,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Germany,2022,96.32,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Germany,2024,96.50,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Denmark,2022,98.19,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Denmark,2024,97.53,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,92.54,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,93.08,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Estonia,2022,85.78,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Estonia,2024,90.85,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Greece,2022,75.34,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Greece,2024,71.84,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Spain,2022,87.65,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Spain,2024,89.92,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,European Union - 27 countries (from 2020),2022,91.84,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,European Union - 27 countries (from 2020),2024,92.76,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Finland,2022,98.16,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Finland,2024,98.74,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,France,2022,93.39,b,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,France,2024,93.20,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Croatia,2022,84.80,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Croatia,2024,88.27,,
ESTAT:ISOC_CISCE_RA(1.0),12/12/24 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises using any ICT security measure (as of 2022),Percentage of enterprises,Hungary,2022,78.95,,
